ticker,field,value
BRK/B UN,CIE_DES,"Berkshire Hathaway Inc. is a holding company owning subsidiaries in a variety of business sectors. The Company's principal operations are insurance business conducted nationwide on a primary basis and worldwide on a reinsurance basis. Berkshire's other operations include a railway company, a specialty chemical company, and an international association of diversified businesses."
BRKR UW,CIE_DES,"Bruker Corporation designs, manufactures, and markets proprietary life science systems based on spectrometry technology platforms. The Company also sells a range of field analytical systems for substance detection and pathogen identification. Bruker develops life science and advanced materials research tools based on X-ray technology."
BRO UN,CIE_DES,"Brown & Brown, Inc. and its subsidiaries provide a range of insurance and reinsurance products and services. The Company also provides risk management, employee benefit administration, and managed health care services. Brown & Brown operates offices across the United States."
BRX UN,CIE_DES,"Brixmor Property Group, Inc. operates as a real estate investment trust. The Company owns and operates grocery-anchored community and neighborhood shopping centers. Brixmor Property Group serves customers in the United States."
BSX UN,CIE_DES,"Boston Scientific Corporation develops, manufactures, and markets minimally invasive medical devices. The Company's products are used in interventional cardiology, cardiac rhythm management, peripheral interventions, electrophysiology, neurovascular intervention, endoscopy, urology, gynecology, and neuromodulation."
BSY UW,CIE_DES,"Bentley Systems, Incorporated provides software solutions. The Company offers software for bridge analysis, construction, simulation and analysis, modeling, and geotechnical engineering. Bentley Systems serves customers worldwide."
BURL UN,CIE_DES,"Burlington Stores, Inc. owns and operates clothing retail stores. The Company offers, through its stores and internet sites, men's, women's, and children's apparels. Burlington serves customers in the United States and Puerto Rico."
BWA UN,CIE_DES,"BorgWarner, Inc. supplies engineered systems and components, primarily for automotive powertrain applications. The Company's products are manufactured and sold worldwide, primarily to original equipment manufacturers of passenger cars, sport utility vehicles, and light trucks. BorgWarner operates manufacturing facilities in North America, Europe, and Asia."
A UN,CIE_DES,"Agilent Technologies, Inc. provides core bio-analytical and electronic measurement solutions to the communications, electronics, life sciences, and chemical analysis industries. The Company offers electronic and bio-analytical measurement, semiconductor, and board testing."
AA UN,CIE_DES,"Alcoa Corporation manufactures metal products. The Company produces and sells bauxite, alumina, and aluminum products. Alcoa serves aluminum industry worldwide."
AAL UW,CIE_DES,"American Airlines Group Inc. operates an airline. The Company provides scheduled passenger, freight, and mail service. American Airlines Group serves customers in the United States and Canada."
AAP UN,CIE_DES,"Advance Auto Parts, Inc. is an automotive aftermarket parts provider. The Company offers auto and replacement parts, oil and fluids, exhaust, fuel systems, engines and ignition, cooling and heating, tools, transmission, drivetrain, and accessories. Advance Auto Parts serves customers in the United States, Canada, Puerto Rico, and the Virgin Islands."
AAPL UW,CIE_DES,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables and accessories, and sells a variety of related accessories. The Company also offers payment, digital content, cloud and advertising services. Apple Inc.'s customers are primarily in consumer, small & mid-sized business, education, enterprise and government markets worldwide."
ABBV UN,CIE_DES,"AbbVie Inc. researches and develops pharmaceutical products. The Company produces pharmaceutical drugs for specialty therapeutic areas such as immunology, chronic kidney disease, hepatitis C, women's health, oncology, and neuroscience. AbbVie also offers treatments for diseases including multiple sclerosis, parkinson's, and alzheimer's disease."
ABC UN,CIE_DES,"AmerisourceBergen Corporation provides pharmaceutical services. The Company offers brand generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, and related services to healthcare providers. AmerisourceBergen distributes its products internationally."
ABNB UW,CIE_DES,"Airbnb, Inc. operates an online marketplace for travel information and booking services. The Company offers lodging, home-stay, and tourism services via websites and mobile applications. Airbnb serves clients worldwide."
ABT UN,CIE_DES,"Abbott Laboratories discovers, develops, manufactures, and sells a broad and diversified line of health care products and services. The Company's products include pharmaceuticals, nutritional, diagnostics, and vascular products. Abbott markets its products worldwide through affiliates and distributors."
ACGL UW,CIE_DES,"Arch Capital Group Ltd. provides financial services. The Company offers life, health, and property insurance and reinsurance products, as well as mortgage insurance. Arch Capital Group serves customers globally."
CFG UN,CIE_DES,"Citizens Financial Group, Inc. provides a full range of commercial banking services. The Bank offers consumer loans, commercial loans, mortgage loans, deposit products, internet banking, and trust services. Citizens Financial Group serves customers in the United States."
CFLT UW,CIE_DES,"Confluent, Inc. operates as a software company. The Company offers a new category of data infrastructure designed to connect all the applications, systems, and data layers of a company around a real-time central nervous system, as well as generates revenue from the sale of subscriptions and services. Confluent serves clients worldwide."
CFR UN,CIE_DES,"Cullen/Frost Bankers, Inc. is the holding company for The Frost National Bank. The Bank provides commercial banking, consumer services, investment banking, international banking, trust services, correspondent banking, discount brokerage, and insurance services through a network of offices in Texas."
CG UW,CIE_DES,"The Carlyle Group Inc. operates as a global investment firm. The Company manages investment vehicles that invests across four segments which includes corporate private equity, real assets, global credit, and investment solutions. Carlyle Group serves clients worldwide."
CGNX UW,CIE_DES,"Cognex Corporation designs, develops, manufactures, and markets machine vision systems. The Company's systems are used to automate the manufacture of a variety of discrete items and to assure their quality. Cognex has regional offices located throughout North America, Japan, Europe, and Southeast Asia."
CHD UN,CIE_DES,"Church & Dwight Co., Inc. develops, manufactures, and distributes household, personal care, and specialty products. The Company offers contraceptive products, laundry and dishwashing detergents, toothbrushes, shampoos, vitamins, pregnancy test kits, and hair removers. Church & Dwight serves customers worldwide."
CHDN UW,CIE_DES,"Churchill Downs Incorporated is an industry-leading racing, online wagering, and gaming entertainment company. The Company owns and operates gaming entertainment venues. Churchill Downs serves customers in the United States."
CHE UN,CIE_DES,"Chemed Corporation operates as a holding company. The Company, through its subsidiaries, provides hospice and palliative care services to its patients through a network of physicians, registered nurses, home health aides, clergy, and volunteers, as well as offers plumbing, drain cleaning, excavation, and water restoration services. Chemed conducts business in the United States."
CHH UN,CIE_DES,"Choice Hotels International, Inc. operates as a hospitality franchising company. The Company offers comfortable and affordable hotels ranging from economy to luxury accommodation. Choice Hotels International serves customers worldwide."
CHK UW,CIE_DES,"Chesapeake Energy Corporation produces oil and natural gas. The Company's operations are focused on discovering, developing, and acquiring conventional and unconventional natural gas reserves onshore in the United States."
EQR UN,CIE_DES,"Equity Residential is a real estate investment trust. The Trust acquires, develops, and manages apartment complexes in the United States."
EQT UN,CIE_DES,"EQT Corporation is an integrated energy company with emphasis on Appalachian area natural-gas supply, transmission, and distribution. The Company, through its subsidiaries, offer natural gas products to wholesale and retail customers."
ERIE UW,CIE_DES,"Erie Indemnity Company is the management company for the Erie Insurance Exchange. The Company is also involved in the property and casualty insurance business through its wholly-owned subsidiaries and through its management of Flagship City Insurance Company. Erie Indemnity sells auto, home, life, and business insurance in the United States."
ES UN,CIE_DES,"Eversource Energy is a public utility holding company. The Company, through its subsidiaries, provides electric service to customers in Connecticut, New Hampshire, and western Massachusetts. Eversource Energy also distributes natural gas throughout Connecticut."
ESAB UN,CIE_DES,"ESAB Corporation manufactures connected fabrication technology and gas control solutions. The Company provides consumables, advanced and gas control equipment, robotics, and digital solutions for fabrication, industrial, life sciences, and medical applications. ESAB serves clients worldwide."
ESI UN,CIE_DES,"Element Solutions Inc operates as a specialty chemicals company. The Company manufactures and supplies specialty chemicals used by the electronics, metal and plastic plating, graphic arts, and offshore oil production and drilling industries. Element Solutions serves customers worldwide."
ESS UN,CIE_DES,"Essex Property Trust, Inc. is a self-administered and self-managed real estate investment trust company. The Company specializes in acquiring, developing, and managing multifamily residential properties. Essex has ownership interests in residential properties and commercial properties located in the States of California and Washington."
ESTC UN,CIE_DES,"Elastic N.V. provides information technology and data analysis services. The Company offers monitoring, security analysis, enterprise search, cloud computing, and open source application performance monitoring solutions. Elastic serves customers in the United States."
ETN UN,CIE_DES,"Eaton Corporation PLC manufactures engineered products for the industrial, vehicle, construction, commercial, and aerospace markets. The Company offers hydraulic products and fluid connectors, electrical power distribution and control equipment, truck drivetrain systems, engine components, and a wide variety of controls. Eaton conducts business worldwide."
ETR UN,CIE_DES,"Entergy Corporation is an integrated energy company that is primarily focused on electric power production and retail electric distribution operations. The Company delivers electricity to utility customers in Arkansas, Louisiana, Mississippi, and Texas. Entergy also owns and operates nuclear plants in the northern United States."
CCI UN,CIE_DES,"Crown Castle Inc operates as a real estate investment trust. The Company owns, operates, and leases towers and other infrastructure for wireless communications. Crown Castle manages and offers wireless communication coverage and infrastructure sites in the United States and Australia."
CCK UN,CIE_DES,"Crown Holdings, Inc. designs, manufactures, and sells packaging products for consumer goods through plants located in countries around the world. The Company's primary products include steel and aluminum cans for food, beverage, household, and other consumer products. Crown also provides a variety of metal caps, closures, and dispensing systems."
CCL UN,CIE_DES,"Carnival Corporation owns and operates cruise ships offering cruises to all major vacation destinations including North America, United Kingdom, Germany, Southern Europe, South America, and Asia Pacific. The Company, through a subsidiary also owns and operates hotels and lodges. Dually-listed company with CCL LN."
CDAY UN,CIE_DES,"Ceridian HCM Holding Inc. operates as a holding company. The Company, through its subsidiaries, develops human capital management software. Ceridian HCM Holding provides recruiting, staff monitoring, payroll processing, employee engagement, and human capital management technology services. Ceridian HCM Holding serves customers worldwide."
CDNS UW,CIE_DES,"Cadence Design Systems, Inc. provides software technology, design and consulting services and technology. The Company licenses its electronic design automation software technology and provides a variety of professional services. Cadence's design realization solutions are used to design and develop complex chips and electronic systems, including semiconductors."
CDW UW,CIE_DES,"CDW Corporation of Delaware provides information technology products and services. The Company offers hardware, software, computer peripherals, cloud computing, mobile devices, network communication, and security solutions. CDW serves business, government, education, and healthcare customers throughout North America."
CE UN,CIE_DES,"Celanese Corporation operates as a global integrated producer of chemicals and advanced materials. The Company offers products such as acetyl, acetate, vinyl emulsion, and engineered polymers. Celanese operations serves customers worldwide."
CEG UW,CIE_DES,"Constellation Energy Corporation produces carbon-free energy and sustainable solutions. The Company generates and distributes nuclear, hydro, wind, and solar energy solutions. Constellation Energy serves homes, institutional customers, public sectors, community aggregations, and businesses in the United States."
CERT UW,CIE_DES,"Certara, Inc. operates as a bio-technology company. The Company focuses on accelerating medicines to patients using biosimulation software and technology to transform traditional drug discovery and development. Certara serves customers worldwide."
CF UN,CIE_DES,"CF Industries Holdings, Inc. manufactures and distributes nitrogen and phosphate fertilizer products globally. The Company offers products in the nitrogen segment includes ammonia, urea, urea ammonium nitrate solution, ammonium nitrate, diesel exhaust fluid, and aqua ammonia."
ATVI UW,CIE_DES,"Activision Blizzard, Inc. publishes, develops, and distributes interactive entertainment software and peripheral products. The Company's products covers diverse game categories, including action adventure, sports, racing, role playing, simulation, first-person action, music-based gaming, and strategy. Activision Blizzard serves customers worldwide."
AVB UN,CIE_DES,"AvalonBay Communities, Inc. is a real estate investment trust. The Company develops, redevelops, acquires, owns, and operates multifamily communities in the United States."
AVGO UW,CIE_DES,"Broadcom Inc. designs, develops, and supplies semiconductor and infrastructure software solutions. The Company offers storage adapters, controllers, networking processors, motion control encoders, and optical sensors, as well as infrastructure and security software to modernize, optimize, and secure the most complex hybrid environments. Broadcom serves customers worldwide."
AVT UW,CIE_DES,"Avnet, Inc. distributes computer products and semiconductors, as well as interconnect, passive, and electromechanical components. The Company markets and distributes these products and provides supply-chain integration, engineering design, and technical services. Avnet serves customers in countries around the world."
AVTR UN,CIE_DES,"Avantor, Inc. manufactures and distributes chemicals, reagents, and laboratory supplies. The Company offers amino acids, silicones, bioreagents, denaturants, gas, solvents, stains, dyes, and minerals. Avantor serves biopharma, healthcare, education and government, advanced technologies, life sciences, and applied materials industries worldwide."
AVY UN,CIE_DES,"Avery Dennison Corporation produces pressure-sensitive materials and a variety of tickets, tags, labels, and other converted products. The Company's pressure sensitive products are used in labeling, decorating, and specialty applications. Avery Dennison's non-pressure sensitive products include tickets, tags, RFID inlays, and services for retailers, apparel manufacturers, and brand owners."
AWI UN,CIE_DES,"Armstrong World Industries, Inc. provides home improvement solutions. The Company offers ceilings, walls, roof deck, and plasterform castings for commercial spaces and homes. Armstrong World Industries serves customers worldwide."
AWK UN,CIE_DES,"American Water Works Co., Inc. provides drinking water, wastewater, and other water-related services in multiple states and Ontario, Canada. The Company's primary business involves the ownership of regulated water and wastewater utilities that provide water and wastewater services to residential, commercial, and industrial customers."
AXON UW,CIE_DES,"Axon Enterprise, Inc. is a public safety technology company. The Company offers law enforcement, military, and self defense solutions. Axon Enterprise serves customers worldwide."
AXP UN,CIE_DES,American Express Company is a global payment and travel company. The Company's principal products and services are charge and credit payment card products and travel-related services offered to consumers and businesses around the world.
BWXT UN,CIE_DES,"BWX Technologies, Inc. supplies nuclear components and fuel. The Company offers precision manufactured components and services for the commercial nuclear power industry. BWX Technologies also provides technical, management, and site services to support government in the operation of complex facilities and environmental remediation activities."
BX UN,CIE_DES,"Blackstone Inc. operates as an investment company. The Company focuses on real estate, hedge funds, private equity, leveraged lending, senior debts, and rescue financing. Blackstone serves customers worldwide."
BXP UN,CIE_DES,"Boston Properties, Inc. operates as a real estate investment trust. The Company owns, manages, and develops office properties in the United States, with a significant presence in Boston, Washington, D.C., Midtown Manhattan, and San Francisco."
BYD UN,CIE_DES,"Boyd Gaming Corporation is a casino entertainment company. The Company owns and operates hotels, casino, and gaming properties. Boyd Gaming serves customers in the United States."
C UN,CIE_DES,"Citigroup Inc. is a diversified financial services holding company that provides a broad range of financial services to consumer and corporate customers. The Company services include investment banking, retail brokerage, corporate banking, and cash management products and services. Citigroup serves customers globally."
CABO UN,CIE_DES,"Cable One, Inc. operates as a cable company. The Company offers data, video, and voice services. Cable One serves residential and business consumers in the United States."
CACC UW,CIE_DES,"Credit Acceptance Corporation provides funding, receivables management, collection, sales training, and related services to automobile dealers. The Company provides indirect financing for buyers with limited access to traditional sources of consumer credit. Credit Acceptance operates in the United States."
CACI UN,CIE_DES,"CACI International Inc. provides information technology products and services. The Company delivers client solutions for systems integration, information assurance and security, reengineering, logistics and engineering support, electronic commerce, and other solutions. CACI serves government and commercial markets primarily in North America and Western Europe."
CAG UN,CIE_DES,"Conagra Brands, Inc. manufactures and markets packaged foods for retail consumers, restaurants, and institutions. The Company offers meals, entrees, condiments, sides, snacks, specialty potatoes, milled grain ingredients, dehydrated vegetables and seasonings, and blends and flavors. Conagra Brands serves customers in the United States."
CAH UN,CIE_DES,"Cardinal Health, Inc. provides complementary products and services to healthcare providers and manufacturers. The Company's services include pharmaceutical distribution, health-care product manufacturing, distribution and consulting services, drug delivery systems development, pharmaceutical packaging, automated dispensing systems manufacturing, and retail pharmacy franchising."
EMN UN,CIE_DES,"Eastman Chemical Company is an international chemical company which produces chemicals, fibers, and plastics. The Company's operations include coatings, adhesives, specialty polymers, inks, fibers, performance chemicals and intermediates, performance polymers, and specialty plastics."
EMR UN,CIE_DES,"Emerson Electric Co. designs and manufactures electronic and electrical equipment, software, systems, and services. The Company offers its products for industrial, commercial, and consumer markets worldwide through its network power, process management, industrial automation, climate technologies, and commercial and residential solutions divisions."
ENOV UN,CIE_DES,Enovis Corporation operates as a medical technology company. The Company develops clinically differentiated solutions that generate measurably better patient outcomes and transform workflows. Enovis serves customers worldwide.
ENPH UQ,CIE_DES,"Enphase Energy, Inc. manufactures solar energy equipment. The Company offers home and commercial solar and storage solutions. Enphase Energy serves clients in the United States."
ENTG UW,CIE_DES,"Entegris, Inc. provides materials management products and services to the microelectronics industry on a worldwide basis. The Company provides products such as wafer shippers, wafer transport and process carriers, pods, and work-in-process boxes. Entegris also provides chemical delivery products such as valves, fittings, tubing, pipe, and containers."
EOG UN,CIE_DES,"EOG Resources, Inc. explores, develops, produces, and markets natural gas and crude oil. The Company operates in major producing basins in the United States, Canada, Trinidad, the United Kingdom North Sea, China, and from time to time select other international areas."
EPAM UN,CIE_DES,"EPAM Systems, Inc. offers information technology services. The Company provides software development, outsourcing services, e-business, enterprise relationship management, and content management solutions. EPAM Systems serves customers in the United States."
EPR UN,CIE_DES,EPR Properties operates as a real estate investment trust. The Company acquires and develops properties leased to entertainment and entertainment related business operators generally under long-term triple net leases. The Company plans to focus primarily on megaplex theaters and entertainment themed retail centers.
EQH UN,CIE_DES,"Equitable Holdings, Inc. is an independent U.S.-based financial services company. The Company, through its subsidiaries, provides advice, protection, retirement strategies, and investment-management and research."
EQIX UW,CIE_DES,"Equinix, Inc. operates as a real estate investment trust. The Company invests in interconnected data centers. Equinix focuses on developing network and cloud-neutral data center platform for cloud and information technology, enterprises, network, and mobile services providers, as well as for financial companies."
ALK UN,CIE_DES,"Alaska Air Group, Inc. is an airline holding company. The Company, through its subsidiaries, provides air services to passengers in multiple destinations. Alaska Air also offers freight and mail services. Alaska Air Group serves passengers worldwide."
ALL UN,CIE_DES,"The Allstate Corporation provides property-liability insurance solutions. The Company sells private passenger automobile and homeowners insurance through independent and specialized brokers, as well as life insurance, annuity, and group pension products through agents. Allstate serves customers in the United States and Canada."
ALLE UN,CIE_DES,"Allegion PLC provides security products and solutions. The Company offers mechanical and electronic security products, services, and systems to keep people and places safe. Allegion serves commercial, institutional, and residential customers in the Americas, Europe, the Middle East, India, Africa, and the Asia Pacific."
ALLY UN,CIE_DES,Ally Financial Inc. operates as a financial holding company. The Company offers automotive financial services. Ally Financial serves clients in the United States.
ALNY UW,CIE_DES,"Alnylam Pharmaceuticals, Inc. operates as an early-stage therapeutics company. The Company discovers and develops drug and medicines for the treatment of human disease. Alnylam Pharmaceuticals serves health care sectors in the United States and the United Kingdom."
ALSN UN,CIE_DES,"Allison Transmission Holdings, Inc. manufactures fully-automatic transmissions for medium and heavy-duty commercial vehicles, medium and heavy-tactical U.S. military vehicles, and hybrid-propulsion systems for transit buses. The Company's products are used in a variety of applications."
AM UN,CIE_DES,"Antero Midstream Corporation owns, operates, and develops midstream energy assets. The Company offers gathering and compressions, water distribution, clearwater facility, fractionation, and pipeline safety services. Antero Midstream serves customers in North America."
AMAT UW,CIE_DES,"Applied Materials, Inc. develops, manufactures, markets, and services semiconductor wafer fabrication equipment and related spare parts for the worldwide semiconductor industry. The Company's customers include semiconductor wafer and integrated circuit manufacturers, flat panel liquid crystal displays, solar photovoltaic cells and modules and other electronic devices manufacturers."
AMBP UN,CIE_DES,"Ardagh Metal Packaging SA is a global supplier of recyclable beverage cans. The Company supplies beverage cans to CSD, beer, sparkling water, energy and other brands in Europe, the United States and Brazil."
AMC UN,CIE_DES,"AMC Entertainment Holdings, Inc. operates as a holding company. The Company, through its subsidiaries, provides theatrical exhibition, movie screening, food distribution, online ticket booking, and other related services. AMC Entertainment offers movie theaters worldwide."
EEFT UW,CIE_DES,"Euronet Worldwide, Inc. provides electronic financial transaction solutions. The Company offers financial payment middleware, financial network gateways, outsourcing, and consulting services to financial institutions and mobile operators. Euronet has processing centers located in the United States, Europe, and Asia."
EFX UN,CIE_DES,"Equifax Inc. is a consumer credit reporting agency. The Company brings buyers and sellers together through its information management, transaction processing, direct marketing, and customer relationship management businesses. Equifax serves financial, retail, credit card, telecommunications, utilities, transportation, and information technology sectors in the United States."
EGP UN,CIE_DES,"EastGroup Properties, Inc. is an equity real estate investment trust. The Trust acquires and develops industrial properties in major sunbelt markets throughout the United States with a special emphasis in the states of California, Florida, Texas, and Arizona."
EHAB UN,CIE_DES,"Enhabit, Inc. provides health care services. The Company offers evidence-based and disease-specific home health and hospice services. Enhabit serves patients in the United States."
EHC UN,CIE_DES,"Encompass Health Corporation provides inpatient rehabilitative healthcare services.  The Company operates inpatient rehabilitation hospitals, outpatient and rehabilitation satellites, and home health agencies. Encompass Health provides treatment on both an inpatient and outpatient basis."
EIX UN,CIE_DES,"Edison International, through its subsidiaries, develops, acquires, owns, and operates electric power generation facilities worldwide. The Company also provides capital and financial services for energy and infrastructure projects, as well as manages and sells real estate projects. Edison provides integrated energy services, utility outsourcing, and consumer products."
EL UN,CIE_DES,"The Estee Lauder Companies Inc. manufactures and markets a wide range of skin care, makeup, fragrance, and hair care products. The Company's products are sold in countries and territories around the world."
ELAN UN,CIE_DES,"Elanco Animal Health Incorporated operates as an animal health care company. The Company develops, manufactures, and markets products for companion and food animals. Elanco Animal Health serves clients worldwide."
ELS UN,CIE_DES,"Equity LifeStyle Properties, Inc. operates as a real estate investment trust company. The Company owns and manages manufactured home resort, retirement communities, rental homes, campgrounds, and residential properties. Equity LifeStyle Properties serves customers in the State of Illinois."
ELV UN,CIE_DES,"Elevance Health, Inc. operates as a health benefits company. The Company provides health, dental and vision, and pharmacy benefits, as well as life insurance, and life and disability insurance benefits. Elevance Health offers a broad spectrum of network-based managed care plans to large and small employer, individual, medicaid, and medicare markets."
CLX UN,CIE_DES,"The Clorox Company manufactures and markets consumer products sold primarily through grocery and other retail stores. The Company's principal products include household cleaning and bleach products, charcoal, cat litter, dressings and sauces, natural personal care, and trash bags. Clorox markets the majority of its products in North America and the LATAM countries."
CMA UN,CIE_DES,"Comerica Incorporated is the holding company for business, individual, and investment banks with operations in the United States, Canada, and Mexico. The Company subsidiaries provides services such as corporate banking, international finance, treasury management, community and private banking, small business and individual lending, investment services, and institutional trust."
CMCSA UW,CIE_DES,"Comcast Corporation provides media and television broadcasting services. The Company offers video streaming, television programming, high-speed Internet, cable television, and communication services. Comcast serves customers worldwide."
