ticker,NAME,CIE_DES,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
ACHR UN,ARCHER AVIATION INC-A,Archer Aviation Inc. operates as an aerospace company. The Company offers electric vertical takeoff and landing aircraft. Archer Aviation serves clients in the United States.,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
ACI UN,ALBERTSONS COS INC - CLASS A,"Albertsons Companies, Inc. retails food and drugs products. The Company distributes fruits, vegetables, canned items, medicines, and other related goods. Albertsons serves customers in the United States.",Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Food Retail
ACIW UW,ACI WORLDWIDE INC,"ACI Worldwide, Inc. develops, markets, and supports software products for the global electronics funds transfer market. The Company's products are used to process transactions involving credit cards, debit cards, smart cards, home banking services, checks, and automated clearing and settlement.",Information Technology,Software & Services,Software,Application Software
ACLS UW,AXCELIS TECHNOLOGIES INC,"Axcelis Technologies, Inc. produces components for the semiconductor industries. The Company designs, manufactures, and services ion implantation, dry strip, thermal processing, and curing equipment used in the fabrication of semiconductor chips. Axcelis Technologies markets products to semiconductor chip manufacturers worldwide.",Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi
ACLX UW,ARCELLX INC,"Arcellx, Inc. operates as a development-stage pharmaceutical company. The Company provides cancer patients with adaptive immune cell therapies that are readily silenced, activated, and reprogrammed throughout the course of disease. Arcellx serves customers worldwide.",Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ACM UN,AECOM,"AECOM provides professional technical services to the United States government, state, local, and non-U.S. governments and agencies, and commercial customers. The Company's services include consulting, planning, architecture, engineering, construction management, project management, asset management, environmental services, and design-build services.",Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
ACMR UQ,ACM RESEARCH INC-CLASS A,"ACM Research, Inc. develops wet processing technology. The Company produces equipment for a range of applications in integrated circuits and wafer level packaging, as well as offers coating, developer, wet stripping, scrubber, and plating systems. ACM Research serves customers worldwide.",Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi
ACN UN,ACCENTURE PLC-CL A,"Accenture PLC provides management and technology consulting services and solutions. The Company delivers a range of specialized capabilities and solutions to clients across all industries on a worldwide basis. Accenture operates a network of businesses provides consulting, technology, outsourcing, and alliances.",Information Technology,Software & Services,IT Services,IT Consulting & Other Services
ACNB UR,ACNB CORP,"ACNB Corporation is the holding company for Adams County National Bank. The Company offers commercial and retail banking, trust, accounting, and insurance services through a network of full-service offices in Adams, Cumberland, and York counties in Pennsylvania. ACNB Pennbanks Insurance Co. subsidiary reinsures credit life and credit accident and disability risks.",Financials,Banks,Banks,Regional Banks
ACRE UN,ARES COMMERCIAL REAL ESTATE,"Ares Commercial Real Estate Corporation operates as a finance company. The Company is focused on originating, investing in, and managing middle-market commercial real estate loans and other commercial sectors. Ares Commercial Real Estate serves customers in the United States.",Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
ACRS UW,ACLARIS THERAPEUTICS INC,"Aclaris Therapeutics, Inc. operates as a pharmaceutical company. The Company deals in identifying, developing, and commercialization of drugs and therapies to meet needs in dermatology, medical, and immunology sectors. Aclaris Therapeutics serves patients in the United States.",Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
ACRV UQ,ACRIVON THERAPEUTICS INC,"Acrivon Therapeutics, Inc. is a clinical stage oncology company. The Company offers a predictive precision proteomics technology platform which enables the development of drug-tailored companion diagnostics that link drug mechanisms to the active disease-driving processes of cancer in patients, uncovering drug sensitivity not achievable through traditional genomics analyses.",Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ACT UW,ENACT HOLDINGS INC,"Enact Holdings, Inc. operates as a holding company. The Company, through its subsidiaries, provides mortgage insurance services to mortgage lenders and investors.",Financials,Financial Services,Financial Services,Commercial & Residential Mortg
ACVA UW,ACV AUCTIONS INC-A,"ACV Auctions Inc. develops mobile application. The Company offers platform that enables used-car dealers to view, bid, and purchase car inventory via online auctions. ACV Auctions serves customers in the United States.",Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Diversified Support Services
ADBE UW,ADOBE INC,"Adobe Inc. develops, markets, and supports computer software products and technologies. The Company's products allow users to express and use information across all print and electronic media. Adobe offers a line of application software products, type products, and content for creating, distributing, and managing information. Adobe serves customers worldwide.",Information Technology,Software & Services,Software,Application Software
ADC UN,AGREE REALTY CORP,"Agree Realty Corporation is a real estate investment trust that owns, manages, and develops primarily neighborhood community shopping centers and single tenant properties, located in twelve states and leased under net leases to major retail tenants.",Real Estate,Equity Real Estate Investment,Retail REITs,Retail REITs
ADEA UW,ADEIA INC,"Adeia Inc. operates as a consumer and entertainment product and intellectual property licensing company. The Company offers media solutions for use with traditional linear television in connection with OTT, direct-to-consumer, and social media services that provide access to entertainment inside and outside the home on a broad array of devices. Adeia serves customers worldwide.",Information Technology,Software & Services,Software,Systems Software
ADI UW,ANALOG DEVICES INC,"Analog Devices, Inc. designs, manufactures, and markets integrated circuits used in analog and digital signal processing. The Company's products are used in communications, computer, industrial, instrumentation, military, aerospace, automotive, and high-performance consumer electronics applications. Analog Devices sells its products worldwide.",Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
ADM UN,ARCHER-DANIELS-MIDLAND CO,"Archer-Daniels-Midland Company procures, transports, stores, and merchandises agricultural commodities and products. The Company processes oilseeds, corn, milo, oats, barley, peanuts, and wheat. Archer-Daniels-Midland also processes produce products which have primarily two end uses including food or feed ingredients.",Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Servic
ADMA UQ,ADMA BIOLOGICS INC,"ADMA Biologics, Inc. operates as a biopharmaceutical company. The Company develops and commercializes human plasma and plasma-derived therapeutics for immunity-compromised patients. ADMA Biologics serves patients in the United States.",Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ADNT UN,ADIENT PLC,"Adient plc is a automotive seating supplier that designs, develops, manufactures, and distributes complete seat systems and their various components. The Company provides its products to the global auto industry for use in vans, pick-up trucks and SUV vehicles.",Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
ADP UW,AUTOMATIC DATA PROCESSING,"Automatic Data Processing, Inc. is a global provider of business outsourcing solutions. The Company's services include a wide range of human resource, payroll, tax, and benefits administration solutions. Automatic Data also provides solutions to auto, truck, motorcycle, marine, and recreational vehicle dealers.",Industrials,Commercial & Professional Serv,Professional Services,Human Resource & Employment Se
ADPT UW,ADAPTIVE BIOTECHNOLOGIES,"Adaptive Biotechnologies Corporation provides life science equipment. The Company offers testing instruments for diagnose, treat, and monitor disease. Adaptive Biotechnologies serves customers in the United States.",Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
ADSK UW,AUTODESK INC,"Autodesk, Inc. supplies PC software and multimedia tools. The Company's two-dimensional and three-dimensional products are used across industries and in the home for architectural design, mechanical design, geographic information systems and mapping, and visualization applications. Autodesk's software products are sold worldwide through a network of dealers and distributors.",Information Technology,Software & Services,Software,Application Software
ADT UN,ADT INC,"ADT Inc. provides commercial security systems and services. The Company offers home and business automation solutions which includes temperature, burglary, flood, fire and smoke, and medical alert monitoring, as well as security cameras, remote access, and wireless home security systems. ADT serves customers in the United States.",Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services
ADTH UR,ADTHEORENT HOLDINGS CO INC,"AdTheorent Holding Company, Inc. operates as a holding company. The Company, through its subsidiaries, provides a machine learning platform and custom solutions to deliver real-world value for advertisers and marketers. AdTheorent Holding serves customers in North America.",Communication Services,Media & Entertainment,Media,Advertising
ADTN UW,ADTRAN HOLDINGS INC,"Adtran Holdings, Inc. operates as a holding company. The Company, through its subsidiaries, focuses provides networking and communications equipment that enables voice, data, video and Internet communications across any network infrastructure. Adtran Holdings serves customers worldwide.",Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
ADUS UW,ADDUS HOMECARE CORP,"Addus HomeCare Corporation provides a broad range of social and medical services in the home. The Company offers services include personal care and assistance with activities of daily living, skilled nursing, rehabilitative therapies, and adult day care. Addus consumers are individuals with special needs who are at risk of hospitalization and institutionalization.",Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
ADV UW,ADVANTAGE SOLUTIONS INC,"Advantage Solutions Inc. operates as a marketing agency. The Company offers brand building, market research, analytics, content and plan development, business process outsourcing, retail merchandising, in-store sampling, digital commerce, and shopper marketing services. Advantage Solutions serves clients worldwide.",Communication Services,Media & Entertainment,Media,Advertising
AEE UN,AMEREN CORPORATION,"Ameren Corporation is a public utility holding company. The Company, through its subsidiaries, generates electricity, delivers electricity, and distributes natural gas to customers in Missouri and Illinois.",Utilities,Utilities,Multi-Utilities,Multi-Utilities
AEIS UW,ADVANCED ENERGY INDUSTRIES,"Advanced Energy Industries, Inc. provides engineered precision power conversion, measurement, and control solutions. The Company designs, manufactures, sells, and supports power conversion products and solutions that transform power into various usable forms in a variety of applications ranging from manufacturing and industrial processes to instrumentation and measurement.",Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum
AEL UN,AMERICAN EQUITY INVT LIFE HL,"American Equity Investment Life Holding Company develops, markets, issues, and administers annuities and life insurance products through its subsidiaries. The Company is a full-service underwriter of an array of annuity and insurance products, and is licensed to sell its products throughout the United States.",Financials,Insurance,Insurance,Life & Health Insurance
AEO UN,AMERICAN EAGLE OUTFITTERS,"American Eagle Outfitters, Inc. retails men's and women's casual apparel, footwear, outerwear, and accessories. The Company provides products include jeans, khakis, t-shirts, and other similar apparel. American Eagle serves customers in the United States.",Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Apparel Retail
AEP UW,AMERICAN ELECTRIC POWER,"American Electric Power Company, Inc. (AEP) operates as a public utility holding company. The Company generates, transmits, distributes, and sells electricity to residential and commercial customers. AEP serves customers in the United States.",Utilities,Utilities,Electric Utilities,Electric Utilities
AES UN,AES CORP,"The AES Corporation is an electric power distribution company. The Company acquires, develops, owns, and operates renewable energy power plants. AES serves customers globally.",Utilities,Utilities,Independent Power and Renewabl,Independent Power Producers &
AEVA UN,AEVA TECHNOLOGIES INC,"Aeva Technologies, Inc. provides lidar technology solutions. The Company develops a sensing and perception paradigm for autonomous machines. Aeva Technologies serves customers in the United States.",Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum
AFCG UQ,AFC GAMMA INC,"AFC Gamma, Inc. provides financial services. The Company offers institutional loans to cannabis companies for production, cultivation, processing, and distribution. AFC Gamma serves customers in the United States.",Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
AFG UN,AMERICAN FINANCIAL GROUP INC,"American Financial Group, Inc. provides multi-line property and casualty insurance. The Company also sells tax-deferred annuities and certain life and supplemental health insurance products. American Financial operates in the United States.",Financials,Insurance,Insurance,Property & Casualty Insurance
AFL UN,AFLAC INC,"Aflac, Inc. is a general business holding company. The Company, through its subsidiaries, provides supplemental insurance to individuals in the United States and Japan. Aflac's products include accident and disability, cancer expense, short-term disability, sickness and hospital indemnity, hospital intensive care, and fixed-benefit dental plans.",Financials,Insurance,Insurance,Life & Health Insurance
AFMD UQ,AFFIMED NV,Affimed N.V. operates as a clinical-stage biopharmaceutical company. The Company focuses on discovering and developing targeted cancer immuno-oncology therapies. Affimed offers its services worldwide.,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AFRM UW,AFFIRM HOLDINGS INC,"Affirm Holdings, Inc. is a financial technology company. The Company builds platform for digital and mobile-first commerce. Affirm Holdings offers financial services tool that allows consumers to purchase goods and services. Affirm Holdings serves customers worldwide.",Financials,Financial Services,Financial Services,Transaction & Payment Processi
AGCO UN,AGCO CORP,"AGCO Corporation manufactures and distributes agricultural equipment. The Company sells a wide range of agricultural equipment and related replacement parts, including tractors, combines, hay tools, sprayers, and forage equipment. AGCO serves customers worldwide.",Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery
AGEN UR,AGENUS INC,"Agenus Inc. discovers, manufactures and develops immuno-oncology products. The Company utilizes checkpoint antibodies and other synergistic agents to deliver curative patient outcomes. Agenus serves patients worldwide.",Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AGIO UW,AGIOS PHARMACEUTICALS INC,"Agios Pharmaceuticals, Inc. discovers and develops therapeutics in the field of cancer metabolism. The Company develops drugs focusing on glycolysis, fatty acid metabolism, and autophagy. Agios Pharmaceuticals operates in the United States.",Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AGL UN,AGILON HEALTH INC,"agilon health, Inc. provides healthcare services. The Company focuses on transforming health care for seniors by empowering primary-care physicians to be the agents for a change in communities through a long-term partnership model with existing physician groups and a growing network of like-minded physicians. agilon health serves patients and healthcare professionals in the United States.",Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
AGM UN,FEDERAL AGRIC MTG CORP-CL C,"Federal Agricultural Mortgage Corporation (Farmer Mac) is a federally chartered instrumentality, which establishes a secondary market for agricultural real estate. The Company provides rural housing mortgage loans and adds greater liquidity to the agricultural mortgage market.",Financials,Financial Services,Financial Services,Commercial & Residential Mortg
AGNC UW,AGNC INVESTMENT CORP,AGNC Investment Corp. is an internally-managed real estate investment trust. The Company invests primarily in residential mortgage-backed securities for which the principal and interest payments are guaranteed by a US government and agency. AGNC Investment serves customers in the United States.,Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
AGO UN,ASSURED GUARANTY LTD,"Assured Guaranty Ltd. provides financial guaranty insurance and reinsurance coverage. The Company offers products include guaranties for municipal, structured, and infrastructure finance. Assured Guaranty serves customers worldwide.",Financials,Insurance,Insurance,Property & Casualty Insurance
AGR UN,AVANGRID INC,"Avangrid, Inc. operates as an energy services holding company. The Company engages in the regulated energy transmission and distribution business through wind and solar power, as well as natural gas utilities. Avangrid serves customers in the United States.",Utilities,Utilities,Electric Utilities,Electric Utilities
AGTI UN,AGILITI INC,"Agiliti, Inc. provides health care services. The Company offers clinical engineering, imaging solutions, and surgical activities, as well as medical equipment rental solutions. Agiliti serves customers in the United States.",Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
AGX UN,ARGAN INC,"Argan, Inc., through its subsidiary, designs and builds energy plants. The Company's energy plants include traditional gas as well as alternative energy including biodiesel, ethanol, and renewable energy sources such as wind power and solar.",Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
AGYS UW,AGILYSYS INC,"Agilysys, Inc. develops application software.The Company specializes in point-of-sale, property management, inventory, procurement, mobile, and wireless solutions. Agilysys serves hospitality and retail industries worldwide.",Information Technology,Software & Services,Software,Application Software
AHCO UR,ADAPTHEALTH CORP,"AdaptHealth Corp. provides home medical equipment. The Company sells and leases mobility and oxygen equipment, wheelchairs, walkers, sleep therapy supplies, and hospital beds. AdaptHealth serves the hospitals, sleep labs, skilled nursing facilities, and clinics.",Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Distributors
AHH UN,ARMADA HOFFLER PROPERTIES IN,"Armada Hoffler Properties, Inc. operates as a full service real estate company. The Company develops, builds, owns, and manages office, retail, and residential properties. Armada Hoffler Properties offers its services in the Mid-Atlantic region of the United States.",Real Estate,Equity Real Estate Investment,Diversified REITs,Diversified REITs
AHT UN,ASHFORD HOSPITALITY TRUST,"Ashford Hospitality Trust, Inc. operates as a self-advised real estate investment trust focusing on the lodging industry. The Company owns several hotel properties in primary, secondary, and resort markets throughout the United States.",Real Estate,Equity Real Estate Investment,Hotel & Resort REITs,Hotel & Resort REITs
AI UN,C3.AI INC-A,"C3.ai, Inc. operates as a software company. The Company focuses on developing, deploying, and operating enterprise AI applications. C3.ai serves customers worldwide.",Information Technology,Software & Services,Software,Application Software
AIG UN,AMERICAN INTERNATIONAL GROUP,"American International Group, Inc. is an international insurance organization serving commercial, institutional and individual customers. AIG provides property-casualty insurance, life insurance, and retirement services.",Financials,Insurance,Insurance,Multi-line Insurance
AIN UN,ALBANY INTL CORP-CL A,"Albany International Corp. operates as a textiles and materials processing company. The Company designs and manufactures products and technologies help make paper smoother, tissue softer, and aircraft engines and structures lighter. Albany International serves customers globally.",Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie
AIP UQ,ARTERIS INC,"Arteris, Inc. provides network-on-chip interconnect semiconductor intellectual property. The Company offers products that are used in a number of applications including automotive, networking, video, networking, and mobile-phone processors. Arteris serves customers worldwide.",Information Technology,Software & Services,Software,Systems Software
AIR UN,AAR CORP,"AAR Corp. supplies aftermarket products and services to the global aviation and aerospace industry. The Company purchases, sells, and leases new and used commercial jet aircraft, as well as leases a variety of new, overhauled, and repaired engines and engine products for the aviation aftermarket. AAR operates worldwide.",Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AIRC UN,APARTMENT INCOME REIT CO,Apartment Income REIT Corp. operates as a real estate investment trust. The Company invests in stabilized apartment communities. Apartment Income REIT serves clients in the United States.,Real Estate,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs
AIRS UQ,AIRSCULPT TECHNOLOGIES INC,"AirSculpt Technologies, Inc. provides personal care services. The Company offers custom body contouring using our proprietary AirSculpt method that removes unwanted fat in a minimally invasive procedure. AirSculpt Technologies serves customers in the United States.",Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
AIT UN,APPLIED INDUSTRIAL TECH INC,"Applied Industrial Technologies, Inc. distributes bearings and seals, power transmission and fluid power components, hydraulic and pneumatic components, industrial rubber products, linear components, and general maintenance items. The Company also provides engineering design and systems integration services, as well as mechanical, fabricated rubber, and fluid power shop services.",Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
AIV UN,APARTMENT INVT & MGMT CO -A,"Apartment Investment & Management Company is a self-administered and self-managed real estate investment trust. The trust owns a geographically diversified portfolio of multifamily apartment properties in the United States, the District of Columbia, and Puerto Rico. Apartment Investment also provides property management and asset management services.",Real Estate,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs
AIZ UN,ASSURANT INC,"Assurant, Inc. provides housing and lifestyle solutions that supports, protects, and connects major consumer purchases. The Company offers mobile device solutions, extended service contracts, and vehicle protection, as well as pre-funded funeral, renters, and lender-placed homeowners insurance. Assurant serves customers worldwide.",Financials,Insurance,Insurance,Multi-line Insurance
AJG UN,ARTHUR J GALLAGHER & CO,"Arthur J. Gallagher & Co. and its subsidiaries provide insurance brokerage, risk management, employee benefit, and other related services to clients in the United States and abroad. The Company's principal activity is the negotiation and placement of insurance for its clients. Gallagher also specializes in furnishing risk management services.",Financials,Insurance,Insurance,Insurance Brokers
